"","ID","Role"
"Allen, William, 1532-1594.","Allen, William, 1532-1594.","Author"
"Albin de Valsergues, Jean d', d. 1566.","Albin de Valsergues, Jean d', d. 1566.","Author"
"Fuller, Nicholas, 1543-1620.","Fuller, Nicholas, 1543-1620.","Author"
"Fuller, Thomas, 1608-1661.","Fuller, Thomas, 1608-1661.","Author"
"Marshall, William, fl. 1617-1650, engraver.","Marshall, William, fl. 1617-1650, engraver.","engraver"
"Fuller, Thomas, Master of Arts.","Fuller, Thomas, Master of Arts.","Author"
"Fuller, William, 1579 or 80-1659.","Fuller, William, 1579 or 80-1659.","Author"
"Gnaphaeus, Gulielmus, 1493-1568.","Gnaphaeus, Gulielmus, 1493-1568.","Author"
"Palsgrave, John, d. 1554.","Palsgrave, John, d. 1554.","Author"
"Fulwell, Ulpian, fl. 1586.","Fulwell, Ulpian, fl. 1586.","Author"
"Harman, Edmund.","Harman, Edmund.","Author"
"Fullwood, William, fl. 1562.","Fullwood, William, fl. 1562.","Author"
"Jones, John.","Jones, John.","Author"
"Fulwood, William.","Fulwood, William.","Author"
"Fumée, Martin, ca. 1540-ca. 1590.","Fumée, Martin, ca. 1540-ca. 1590.","Author"
"Churche, Rooke.","Churche, Rooke.","Author"
"Furio Ceriol, Fadrique, d. 1592.","Furio Ceriol, Fadrique, d. 1592.","Author"
"Blundeville, Thomas, fl. 1561.","Blundeville, Thomas, fl. 1561.","Author"
"Fyloll, Jasper.","Fyloll, Jasper.","Author"
